Shoe name,Sale price,Original price,Discount percentage,More info,Shoe picture
Air Jordan 1 Low,"R 1 899,99","R 2 599,95",-27% off,https://www.nike.com/za/t/air-jordan-1-low-shoes-v2kdOZ/553558-152,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/064afac6-d5c0-4be2-aa48-1ecebae0cf7d/AIR+JORDAN+1+LOW.png"
Air Jordan MVP 92,"R 1 999,99","R 2 799,95",-28% off,https://www.nike.com/za/t/air-jordan-mvp-92-shoes-RJnV6J/HQ3950-002,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/32672302-348e-44d0-a298-cbf37ab636ea/JORDAN+MVP+92.png"
Nike Dunk Low Retro 'Berlin',"R 1 899,99","R 2 599,95",-27% off,https://www.nike.com/za/launch/r/FZ3053-001,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/ba27f772-2b92-4ae6-84f0-2897ead49c7d/NIKE+DUNK+LOW+RETRO+QS.png
Jordan Flight Court,"R 1 599,99","R 1 999,95",-20% off,https://www.nike.com/za/t/jordan-flight-court-shoes-TCsrVH/HF3255-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2801c940-f328-439a-b13f-a3ce3f97f386/JORDAN+FLIGHT+COURT.png"
Nike Air Max 95 Ultra,"R 2 599,99","R 3 699,95",-29% off,https://www.nike.com/za/t/air-max-95-ultra-shoes-rVP7Lq/IB7681-002,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9c8d65a2-69f9-4e79-91cb-ab1881d17f60/NIKE+AIR+MAX+95+UL.png"
Nike Shox TL,"R 2 399,99","R 3 299,95",-27% off,https://www.nike.com/za/t/shox-tl-shoes-r8h6dj/AV3595-015,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/852e6de1-b67b-40c3-b291-d1b384ae3ad8/NIKE+SHOX+TL.png"
Jordan Spizike Low,"R 2 399,99","R 3 299,95",-27% off,https://www.nike.com/za/t/jordan-spizike-low-shoes-3MmQZe6Y/IH1782-200,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/bae07de7-7b5e-4d5f-973c-953f1750a591/JORDAN+SPIZIKE+LOW.png"
Air Jordan 1 Mid,"R 1 899,99","R 2 699,95",-29% off,https://www.nike.com/za/t/air-jordan-1-mid-shoes-ntkGmF/DQ8426-102,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ab8d8bb7-536e-43af-8f49-5d86c370b7a2/AIR+JORDAN+1+MID.png"
Jordan Spizike Low,"R 2 399,99","R 3 299,95",-27% off,https://www.nike.com/za/t/jordan-spizike-low-shoes-M8xDhK/IM2176-133,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ff119b06-acb8-4653-84f3-506dc94b6a5a/JORDAN+SPIZIKE+LOW.png"
Nike Air Pegasus Wave,"R 2 299,99","R 3 199,95",-28% off,https://www.nike.com/za/t/air-pegasus-wave-shoes-qkT8wL/IB0612-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4fadf987-6318-4a81-9734-78e09e663dfc/NIKE+AIR+PEGASUS+WAVE.png"
